Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,NewBed,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea
85 Turner St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1480000,Biggin,S,2016-12-03,2016,12,2,1.0,False,1.0,False,2.5,202,0,
25 Bloomburg St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1035000,Biggin,S,2016-02-04,2016,2,2,1.0,False,0.0,False,2.5,156,0,79.0
5 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1465000,Biggin,SP,2017-03-04,2017,3,3,2.0,False,0.0,False,2.5,134,0,150.0
40 Federation La,3067,Abbotsford,Northern Metropolitan,Yarra,h,850000,Biggin,PI,2017-03-04,2017,3,3,2.0,False,1.0,False,2.5,94,0,
55a Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1600000,Nelson,VB,2016-06-04,2016,6,3,1.0,False,2.0,False,2.5,120,0,142.0
129 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,941000,Jellis,S,2016-05-07,2016,5,2,1.0,False,0.0,False,2.5,181,0,
124 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1876000,Nelson,S,2016-05-07,2016,5,3,2.0,False,0.0,False,2.5,245,0,210.0
98 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1636000,Nelson,S,2016-10-08,2016,10,2,1.0,False,2.0,False,2.5,256,0,107.0
6/241 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,300000,Biggin,S,2016-10-08,2016,10,1,1.0,False,1.0,False,2.5,0,1,
10 Valiant St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1097000,Biggin,S,2016-10-08,2016,10,2,1.0,False,2.0,False,2.5,220,0,75.0
411/8 Grosvenor St,3067,Abbotsford,Northern Metropolitan,Yarra,u,700000,Jellis,VB,2016-11-12,2016,11,2,2.0,False,1.0,False,2.5,0,1,
40 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1350000,Nelson,VB,2016-11-12,2016,11,3,2.0,False,2.0,False,2.5,214,0,190.0
123/56 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,750000,Biggin,S,2016-11-12,2016,11,2,2.0,False,1.0,False,2.5,0,1,94.0
45 William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1172500,Biggin,S,2016-08-13,2016,8,2,1.0,False,1.0,False,2.5,195,0,
7/20 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,u,441000,Greg,SP,2016-05-14,2016,5,1,1.0,False,1.0,False,2.5,0,1,
16 William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1310000,Jellis,S,2016-10-15,2016,10,2,1.0,False,2.0,False,2.5,238,0,97.0
42 Henry St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1200000,Jellis,S,2016-07-16,2016,7,3,2.0,False,1.0,False,2.5,113,0,110.0
78 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1176500,LITTLE,S,2016-07-16,2016,7,2,1.0,False,1.0,False,2.5,138,0,105.0
196 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,955000,Collins,S,2016-09-17,2016,9,3,1.0,False,0.0,False,2.5,183,0,
42 Valiant St,3067,Abbotsford,Northern Metropolitan,Yarra,h,890000,Biggin,S,2016-09-17,2016,9,2,1.0,False,1.0,False,2.5,150,0,73.0
3/72 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1330000,Kay,PI,2017-03-18,2017,3,4,2.0,False,2.0,False,2.5,780,0,135.0
13/11 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,t,900000,Beller,S,2017-03-18,2017,3,3,2.0,False,2.0,False,2.5,0,1,
6/219 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,500000,Collins,S,2016-06-18,2016,6,2,1.0,False,1.0,False,2.5,0,1,60.0
52a William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1100000,Biggin,PI,2016-06-18,2016,6,2,2.0,False,1.0,False,2.5,124,0,135.0
49 Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1315000,Marshall,S,2016-11-19,2016,11,2,1.0,False,0.0,False,2.5,147,0,85.0
5/20 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,u,426000,Greg,SP,2016-08-22,2016,8,1,1.0,False,1.0,False,2.5,0,1,
48 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1447500,Nelson,PI,2016-08-22,2016,8,3,3.0,False,1.0,False,2.5,166,0,174.0
116/56 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,457000,Jellis,S,2016-08-22,2016,8,1,1.0,False,1.0,False,2.5,0,1,50.0
159 Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1135000,Nelson,S,2016-08-22,2016,8,2,2.0,False,2.0,False,2.5,98,0,128.0
31 Turner St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1542000,Collins,S,2016-09-24,2016,9,4,3.0,False,1.0,False,2.5,0,1,
166 Gipps St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1290000,Biggin,S,2017-02-25,2017,2,3,2.0,False,2.0,False,2.5,147,0,18.0
60 Stafford St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1290000,Biggin,S,2017-02-25,2017,2,3,1.0,False,1.0,False,2.5,168,0,124.0
11/205 Gipps St,3067,Abbotsford,Northern Metropolitan,Yarra,u,470000,Nelson,S,2016-07-26,2016,7,1,1.0,False,1.0,False,2.5,0,1,50.0
47 Studley St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1180000,Jellis,S,2016-11-27,2016,11,2,1.0,False,0.0,False,2.5,162,0,91.0
45 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1195000,Jellis,SP,2016-11-27,2016,11,3,2.0,False,1.0,False,2.5,120,0,128.0
200 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1012500,Nelson,S,2016-05-28,2016,5,2,1.0,False,0.0,False,2.5,182,0,82.0
27 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1030000,Biggin,S,2016-07-30,2016,7,2,1.0,False,1.0,False,2.5,172,0,81.0
154 Halsey Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,840000,Nelson,PI,2016-09-03,2016,9,3,2.0,False,1.0,False,13.5,303,0,225.0
50 Bedford St,3042,Airport West,Western Metropolitan,Moonee Valley,h,730000,Nelson,VB,2016-12-03,2016,12,3,2.0,False,1.0,False,13.5,0,1,145.0
50 Bedford St,3042,Airport West,Western Metropolitan,Moonee Valley,h,770000,Nelson,SP,2017-03-04,2017,3,3,2.0,False,1.0,False,13.5,0,1,145.0
23 Hart St,3042,Airport West,Western Metropolitan,Moonee Valley,h,603000,Nelson,S,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,272,0,84.0
1/80 Hawker St,3042,Airport West,Western Metropolitan,Moonee Valley,t,700000,Brad,S,2017-03-04,2017,3,3,2.0,False,2.0,False,13.5,239,0,134.0
1/37 Hillside Gr,3042,Airport West,Western Metropolitan,Moonee Valley,h,600000,Maddison,S,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,290,0,116.0
2/49 McIntosh St,3042,Airport West,Western Metropolitan,Moonee Valley,u,500000,Barry,VB,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,168,0,86.0
54 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,720000,Barry,S,2016-08-06,2016,8,2,1.0,False,1.0,False,13.5,620,0,
36 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,785000,Considine,S,2016-08-06,2016,8,3,1.0,False,2.0,False,13.5,597,0,127.0
11 Harrington Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,725000,Barry,SP,2016-05-07,2016,5,6,3.0,False,2.0,False,13.5,976,0,186.0
