Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,Bedroom,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea,BuildingArea_was_missing
85 Turner St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1480000,Biggin,S,2016-12-03,2016,12,2,1.0,False,1.0,False,2.5,202,0,95.0,True
25 Bloomburg St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1035000,Biggin,S,2016-02-04,2016,2,2,1.0,False,0.0,False,2.5,156,0,79.0,False
5 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1465000,Biggin,SP,2017-03-04,2017,3,3,2.0,False,0.0,False,2.5,134,0,150.0,False
40 Federation La,3067,Abbotsford,Northern Metropolitan,Yarra,h,850000,Biggin,PI,2017-03-04,2017,3,3,2.0,False,1.0,False,2.5,94,0,125.0,True
55a Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1600000,Nelson,VB,2016-06-04,2016,6,3,1.0,False,2.0,False,2.5,120,0,142.0,False
129 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,941000,Jellis,S,2016-05-07,2016,5,2,1.0,False,0.0,False,2.5,181,0,95.0,True
124 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1876000,Nelson,S,2016-05-07,2016,5,3,2.0,False,0.0,False,2.5,245,0,210.0,False
98 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1636000,Nelson,S,2016-10-08,2016,10,2,1.0,False,2.0,False,2.5,256,0,107.0,False
6/241 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,300000,Biggin,S,2016-10-08,2016,10,1,1.0,False,1.0,False,2.5,0,1,48.0,True
10 Valiant St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1097000,Biggin,S,2016-10-08,2016,10,2,1.0,False,2.0,False,2.5,220,0,75.0,False
411/8 Grosvenor St,3067,Abbotsford,Northern Metropolitan,Yarra,u,700000,Jellis,VB,2016-11-12,2016,11,2,2.0,False,1.0,False,2.5,0,1,98.0,True
40 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1350000,Nelson,VB,2016-11-12,2016,11,3,2.0,False,2.0,False,2.5,214,0,190.0,False
123/56 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,750000,Biggin,S,2016-11-12,2016,11,2,2.0,False,1.0,False,2.5,0,1,94.0,False
45 William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1172500,Biggin,S,2016-08-13,2016,8,2,1.0,False,1.0,False,2.5,195,0,97.0,True
7/20 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,u,441000,Greg,SP,2016-05-14,2016,5,1,1.0,False,1.0,False,2.5,0,1,49.0,True
16 William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1310000,Jellis,S,2016-10-15,2016,10,2,1.0,False,2.0,False,2.5,238,0,97.0,False
42 Henry St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1200000,Jellis,S,2016-07-16,2016,7,3,2.0,False,1.0,False,2.5,113,0,110.0,False
78 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1176500,LITTLE,S,2016-07-16,2016,7,2,1.0,False,1.0,False,2.5,138,0,105.0,False
196 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,955000,Collins,S,2016-09-17,2016,9,3,1.0,False,0.0,False,2.5,183,0,117.0,True
42 Valiant St,3067,Abbotsford,Northern Metropolitan,Yarra,h,890000,Biggin,S,2016-09-17,2016,9,2,1.0,False,1.0,False,2.5,150,0,73.0,False
3/72 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1330000,Kay,PI,2017-03-18,2017,3,4,2.0,False,2.0,False,2.5,780,0,135.0,False
13/11 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,t,900000,Beller,S,2017-03-18,2017,3,3,2.0,False,2.0,False,2.5,0,1,129.0,True
138/56 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,1090000,Jellis,S,2017-03-18,2017,3,3,2.0,False,2.0,False,2.5,0,1,27.0,False
6/219 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,500000,Collins,S,2016-06-18,2016,6,2,1.0,False,1.0,False,2.5,0,1,60.0,False
52a William St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1100000,Biggin,PI,2016-06-18,2016,6,2,2.0,False,1.0,False,2.5,124,0,135.0,False
49 Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1315000,Marshall,S,2016-11-19,2016,11,2,1.0,False,0.0,False,2.5,147,0,85.0,False
5/20 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,u,426000,Greg,SP,2016-08-22,2016,8,1,1.0,False,1.0,False,2.5,0,1,49.0,True
48 Abbotsford St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1447500,Nelson,PI,2016-08-22,2016,8,3,3.0,False,1.0,False,2.5,166,0,174.0,False
116/56 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,u,457000,Jellis,S,2016-08-22,2016,8,1,1.0,False,1.0,False,2.5,0,1,50.0,False
159 Park St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1135000,Nelson,S,2016-08-22,2016,8,2,2.0,False,2.0,False,2.5,98,0,128.0,False
31 Turner St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1542000,Collins,S,2016-09-24,2016,9,4,3.0,False,1.0,False,2.5,0,1,156.0,True
166 Gipps St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1290000,Biggin,S,2017-02-25,2017,2,3,2.0,False,2.0,False,2.5,147,0,18.0,False
60 Stafford St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1290000,Biggin,S,2017-02-25,2017,2,3,1.0,False,1.0,False,2.5,168,0,124.0,False
11/205 Gipps St,3067,Abbotsford,Northern Metropolitan,Yarra,u,470000,Nelson,S,2016-07-26,2016,7,1,1.0,False,1.0,False,2.5,0,1,50.0,False
47 Studley St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1180000,Jellis,S,2016-11-27,2016,11,2,1.0,False,0.0,False,2.5,162,0,91.0,False
45 Yarra St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1195000,Jellis,SP,2016-11-27,2016,11,3,2.0,False,1.0,False,2.5,120,0,128.0,False
200 Nicholson St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1012500,Nelson,S,2016-05-28,2016,5,2,1.0,False,0.0,False,2.5,182,0,82.0,False
27 Charles St,3067,Abbotsford,Northern Metropolitan,Yarra,h,1030000,Biggin,S,2016-07-30,2016,7,2,1.0,False,1.0,False,2.5,172,0,81.0,False
154 Halsey Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,840000,Nelson,PI,2016-09-03,2016,9,3,2.0,False,1.0,False,13.5,303,0,225.0,False
50 Bedford St,3042,Airport West,Western Metropolitan,Moonee Valley,h,730000,Nelson,VB,2016-12-03,2016,12,3,2.0,False,1.0,False,13.5,0,1,145.0,False
50 Bedford St,3042,Airport West,Western Metropolitan,Moonee Valley,h,770000,Nelson,SP,2017-03-04,2017,3,3,2.0,False,1.0,False,13.5,0,1,145.0,False
23 Hart St,3042,Airport West,Western Metropolitan,Moonee Valley,h,603000,Nelson,S,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,272,0,84.0,False
1/80 Hawker St,3042,Airport West,Western Metropolitan,Moonee Valley,t,700000,Brad,S,2017-03-04,2017,3,3,2.0,False,2.0,False,13.5,239,0,134.0,False
1/37 Hillside Gr,3042,Airport West,Western Metropolitan,Moonee Valley,h,600000,Maddison,S,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,290,0,116.0,False
2/49 McIntosh St,3042,Airport West,Western Metropolitan,Moonee Valley,u,500000,Barry,VB,2017-03-04,2017,3,2,1.0,False,1.0,False,13.5,0,1,86.0,False
54 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,720000,Barry,S,2016-08-06,2016,8,2,1.0,False,1.0,False,13.5,620,0,103.0,True
36 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,785000,Considine,S,2016-08-06,2016,8,3,1.0,False,2.0,False,13.5,597,0,127.0,False
11 Harrington Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,725000,Barry,SP,2016-05-07,2016,5,6,3.0,False,2.0,False,13.5,976,0,186.0,False
2/252 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,450000,Barry,S,2016-05-07,2016,5,2,1.0,False,1.0,False,13.5,110,0,90.0,False
3/19 Hart St,3042,Airport West,Western Metropolitan,Moonee Valley,u,515000,Barry,S,2016-11-07,2016,11,2,1.0,False,1.0,False,13.5,0,1,73.0,False
2/62 Clydesdale Rd,3042,Airport West,Western Metropolitan,Moonee Valley,u,530000,Nelson,S,2016-09-10,2016,9,2,1.0,False,1.0,False,13.5,0,1,94.0,False
3 Deidre Ct,3042,Airport West,Western Metropolitan,Moonee Valley,h,895000,Rendina,PI,2016-09-10,2016,9,3,1.0,False,6.0,False,13.5,1063,0,133.0,False
13 Etzel St,3042,Airport West,Western Metropolitan,Moonee Valley,h,805000,Nelson,S,2016-12-10,2016,12,3,1.0,False,1.0,False,13.5,0,1,105.0,False
1/43 Cameron St,3042,Airport West,Western Metropolitan,Moonee Valley,u,752000,Nelson,S,2017-02-11,2017,2,3,1.0,False,1.0,False,13.5,0,1,130.0,False
145a Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,u,440000,Barry,S,2016-08-13,2016,8,2,1.0,False,1.0,False,13.5,0,1,82.0,True
241 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,755000,Propertyau,PI,2016-05-14,2016,5,3,2.0,False,2.0,False,13.5,596,0,161.0,True
2/40 Earl St,3042,Airport West,Western Metropolitan,Moonee Valley,t,700000,Brad,PI,2016-10-15,2016,10,3,2.0,False,2.0,False,13.5,165,0,133.0,False
180 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,830000,Barry,S,2016-04-16,2016,4,3,1.0,False,2.0,False,13.5,971,0,113.0,False
4/54 Hawker St,3042,Airport West,Western Metropolitan,Moonee Valley,u,462500,Barry,S,2016-07-16,2016,7,2,1.0,False,1.0,False,13.5,0,1,79.0,True
43 Hillside Gr,3042,Airport West,Western Metropolitan,Moonee Valley,h,670000,Barry,SP,2016-07-16,2016,7,3,2.0,False,2.0,False,13.5,657,0,160.0,True
174 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,675000,Barry,S,2016-07-16,2016,7,2,1.0,False,1.0,False,13.5,612,0,100.0,False
138 Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,1042000,Nelson,S,2016-07-16,2016,7,3,2.0,False,5.0,False,13.5,612,0,174.0,False
75 King St,3042,Airport West,Western Metropolitan,Moonee Valley,h,910000,McDonald,S,2016-09-17,2016,9,3,1.0,False,1.0,False,13.5,775,0,132.0,True
478 Fullarton Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,810000,Barry,PI,2017-03-18,2017,3,3,3.0,False,2.0,False,13.5,555,0,192.0,False
144 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,715000,Rendina,S,2017-03-18,2017,3,3,2.0,False,2.0,False,13.5,422,0,126.0,False
106 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,790000,Nelson,S,2017-03-18,2017,3,3,1.0,False,3.0,False,13.5,614,0,135.0,True
3/7 South Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,540000,Nelson,SP,2016-06-18,2016,6,2,2.0,False,1.0,False,13.5,161,0,101.0,False
37 North St,3042,Airport West,Western Metropolitan,Moonee Valley,t,825000,Barry,SP,2016-11-19,2016,11,3,2.0,False,1.0,False,13.5,293,0,102.0,False
10 Hilbert Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,685000,Barry,S,2016-05-22,2016,5,3,1.0,False,1.0,False,13.5,579,0,113.0,False
110 Halsey Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,805000,Barry,S,2016-08-22,2016,8,3,1.0,False,1.0,False,13.5,623,0,118.0,True
2/13 North St,3042,Airport West,Western Metropolitan,Moonee Valley,u,510000,Nelson,S,2016-08-22,2016,8,2,1.0,False,1.0,False,13.5,0,1,76.0,False
105a Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,612000,Nelson,S,2016-08-22,2016,8,3,2.0,False,1.0,False,13.5,212,0,132.0,True
117 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,662000,Brad,S,2016-04-23,2016,4,3,1.0,False,2.0,False,13.5,612,0,112.0,True
34 Moorna Dr,3042,Airport West,Western Metropolitan,Moonee Valley,h,978000,Nelson,S,2016-09-24,2016,9,4,3.0,False,2.0,False,13.5,532,0,206.0,True
33 North St,3042,Airport West,Western Metropolitan,Moonee Valley,h,720000,Nelson,PI,2017-02-25,2017,2,3,1.0,False,1.0,False,13.5,585,0,133.0,True
49 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,765000,Prof.,S,2016-11-27,2016,11,4,1.0,False,2.0,False,13.5,509,0,131.0,True
85 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,900000,Harcourts,S,2016-11-27,2016,11,4,2.0,False,3.0,False,13.5,628,0,146.0,False
105 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1275000,hockingstuart,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.3,120,0,82.0,False
85 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1455000,Thomson,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.3,159,0,92.0,True
