Address,Suburb,Regionname,Type,Price_boxcox,Method,Date,Distance_yeojohnson,NewBed_yeojohnson,Bathroom_boxcox,Car_yeojohnson,Landsize_no_out,Propertycount,Landsize_Indicator
85 Turner St,Abbotsford,Northern Metropolitan,h,7.474483239924543,S,2016-12-03,0.23629264189606378,1.5527819450628428,0.0,0.7751830004004951,0.14885777450257923,4019.0,0
25 Bloomburg St,Abbotsford,Northern Metropolitan,h,7.3897868089150025,S,2016-02-04,0.23629264189606378,1.5527819450628428,0.0,0.0,0.11495946941783346,4019.0,0
5 Charles St,Abbotsford,Northern Metropolitan,h,7.47211357870901,SP,2017-03-04,0.23629264189606378,2.157793988902932,0.46717823203800657,0.0,0.09874723655121592,4019.0,0
40 Federation La,Abbotsford,Northern Metropolitan,h,7.341807161581962,PI,2017-03-04,0.23629264189606378,2.157793988902932,0.46717823203800657,0.7751830004004951,0.06927044952100221,4019.0,0
55a Park St,Abbotsford,Northern Metropolitan,h,7.49253679079668,VB,2016-06-04,0.23629264189606378,2.157793988902932,0.0,1.3141595427987196,0.08843036109064112,4019.0,0
129 Charles St,Abbotsford,Northern Metropolitan,h,7.366709146679679,S,2016-05-07,0.23629264189606378,1.5527819450628428,0.0,0.0,0.13338246131171702,4019.0,0
124 Yarra St,Abbotsford,Northern Metropolitan,h,7.528942852429853,S,2016-05-07,0.23629264189606378,2.157793988902932,0.46717823203800657,0.0,0.18054532056005895,4019.0,0
98 Charles St,Abbotsford,Northern Metropolitan,h,7.497662908690881,S,2016-10-08,0.23629264189606378,1.5527819450628428,0.0,1.3141595427987196,0.18865143699336773,4019.0,0
6/241 Nicholson St,Abbotsford,Northern Metropolitan,u,7.071275296974616,S,2016-10-08,0.23629264189606378,0.8586797743388601,0.0,0.7751830004004951,0.0,4019.0,1
10 Valiant St,Abbotsford,Northern Metropolitan,h,7.403777160790511,S,2016-10-08,0.23629264189606378,1.5527819450628428,0.0,1.3141595427987196,0.1621223286661754,4019.0,0
411/8 Grosvenor St,Abbotsford,Northern Metropolitan,u,7.293541636567431,VB,2016-11-12,0.23629264189606378,1.5527819450628428,0.46717823203800657,0.7751830004004951,0.0,4019.0,1
40 Nicholson St,Abbotsford,Northern Metropolitan,h,7.453006733793302,VB,2016-11-12,0.23629264189606378,2.157793988902932,0.46717823203800657,1.3141595427987196,0.15770081061164334,4019.0,0
123/56 Nicholson St,Abbotsford,Northern Metropolitan,u,7.310802993183077,S,2016-11-12,0.23629264189606378,1.5527819450628428,0.46717823203800657,0.7751830004004951,0.0,4019.0,1
45 William St,Abbotsford,Northern Metropolitan,h,7.419680841050691,S,2016-08-13,0.23629264189606378,1.5527819450628428,0.0,0.7751830004004951,0.14369933677229182,4019.0,0
7/20 Abbotsford St,Abbotsford,Northern Metropolitan,u,7.174738928482179,SP,2016-05-14,0.23629264189606378,0.8586797743388601,0.0,0.7751830004004951,0.0,4019.0,1
16 William St,Abbotsford,Northern Metropolitan,h,7.445936541636825,S,2016-10-15,0.23629264189606378,1.5527819450628428,0.0,1.3141595427987196,0.17538688282977155,4019.0,0
42 Henry St,Abbotsford,Northern Metropolitan,h,7.4251948154900385,S,2016-07-16,0.23629264189606378,2.157793988902932,0.46717823203800657,0.7751830004004951,0.08327192336035372,4019.0,0
78 Yarra St,Abbotsford,Northern Metropolitan,h,7.420491684676288,S,2016-07-16,0.23629264189606378,1.5527819450628428,0.0,0.7751830004004951,0.1016949152542373,4019.0,0
196 Nicholson St,Abbotsford,Northern Metropolitan,h,7.3703034324252386,S,2016-09-17,0.23629264189606378,2.157793988902932,0.0,0.0,0.1348563006632277,4019.0,0
42 Valiant St,Abbotsford,Northern Metropolitan,h,7.353098415003624,S,2016-09-17,0.23629264189606378,1.5527819450628428,0.0,0.7751830004004951,0.1105379513633014,4019.0,0
3/72 Charles St,Abbotsford,Northern Metropolitan,h,7.449500947705619,PI,2017-03-18,0.23629264189606378,2.7041577949550764,0.46717823203800657,1.3141595427987196,0.5747973470891673,4019.0,0
13/11 Nicholson St,Abbotsford,Northern Metropolitan,t,7.355833882246503,S,2017-03-18,0.23629264189606378,2.157793988902932,0.46717823203800657,1.3141595427987196,0.0,4019.0,1
6/219 Nicholson St,Abbotsford,Northern Metropolitan,u,7.207584603696087,S,2016-06-18,0.23629264189606378,1.5527819450628428,0.0,0.7751830004004951,0.0,4019.0,1
52a William St,Abbotsford,Northern Metropolitan,h,7.404431848819241,PI,2016-06-18,0.23629264189606378,1.5527819450628428,0.46717823203800657,0.7751830004004951,0.09137803979366249,4019.0,0
49 Park St,Abbotsford,Northern Metropolitan,h,7.446833241038952,S,2016-11-19,0.23629264189606378,1.5527819450628428,0.0,0.0,0.10832719233603537,4019.0,0
5/20 Abbotsford St,Abbotsford,Northern Metropolitan,u,7.165611891968083,SP,2016-08-22,0.23629264189606378,0.8586797743388601,0.0,0.7751830004004951,0.0,4019.0,1
48 Abbotsford St,Abbotsford,Northern Metropolitan,h,7.469314926143334,PI,2016-08-22,0.23629264189606378,2.157793988902932,0.6039493258762062,0.7751830004004951,0.12232866617538689,4019.0,0
116/56 Nicholson St,Abbotsford,Northern Metropolitan,u,7.184104572752602,S,2016-08-22,0.23629264189606378,0.8586797743388601,0.0,0.7751830004004951,0.0,4019.0,1
